comment
"เปิดกรุหนังสยองขวัญไซไฟสายเลือดไทยที่มีชื่อสั้นๆ แต่เท่ ‘มาห์’ ตำนานความคัลต์ของหนังสัตว์ประหลาดแบบไทยๆ ที่เคยสร้างปรากฏการณ์สั่นกระโหลกให้กับวงการหนังไทยในยุคหนึ่งเมื่อคราวที่ออกฉายในปี 2534 หรือช่วงต้นยุค 90 สมัยที่วงการหนังสัตว์ประหลาดเกรดบีของฝรั่งกำลังคึกคักมากมาย กลายเป็นหนังที่แหวกแนวและล้ำมากสำหรับคนไทยในยุคนั้น
.
ใครที่เคยดู ‘มาห์’ มาแล้วน่าจะรู้สึกได้ถึงกลิ่นอายของหนังสยองขวัญในตำนานยุค 80 อย่าง The Thing ของจอห์น คาร์เพนเตอร์ หนังสัตว์ประหลาดแฝงกายที่เอามาดูยุคนี้ก็ยังโคตรสนุกอยู่เหมือนเดิม โดยเฉพาะบรรยากาศอันไม่น่าไว้วางใจในเรื่องที่ยากจะหาใครมาเลียบแบบได้ ก่อนจะตามมาซึ่งภาคต่อในอีก 29 ปีต่อมา
.
ที่ยกเรื่อง The Thing มาอ้างอิง แค่จะบอกว่าตอนดูแอบได้กลิ่นอายเบาๆ ในส่วนที่เป็นบรรยากาศของเรื่อง ซึ่งถือว่ามีคลาสมากหากเทียบกับหนังสัตว์ประหลาดดาษดื่นในยุคเดียวกัน ขณะที่ตัวเนื้อหนังนั้นจะไปคนละทางกับ The Thing เลย
.
คนละทางที่ว่าคือทางที่น่าชื่นชม
.
เรื่องราวของมาห์ไม่ได้มีอะไรซับซ้อน แค่วัยรุ่นกลุ่มหนึ่งไปเที่ยวป่าแล้วดันทะลึ่งเก็บไข่ของอะไรสักอย่างกลับมาด้วย ก่อนที่อะไรสักอย่างนั้นจะตามกลับมาทวงคืนอย่างโหดเหี้ยม
.
นั่นคือเนื้อเรื่องคร่าวๆ ที่มาพร้อมกับไอเดียและบริบทแบบไทยๆ เรื่องราวเรียบง่าย ไม่ซับซ้อน แต่มีน้ำหนัก โดยเฉพาะประเด็นของความเป็น ‘แม่’ นั้น ทำให้ตัวบทดูมีเนื้อหนัง (พิเศษใส่ไข่) และไม่ไล่ล่าไปเรื่อยเปื่อยเหมือนหนังสัตว์ประหลาดดาษดื่นทั่วไปในยุคเดียวกัน
.
มาห์ เป็นผลงานการกำกับของเลิศฤทธิ์ จั่นสัญจัย ขณะที่บทหนังนั้นเขียนโดยวิศิษฏ์ ศาสนเที่ยง ผู้กำกับหนังสยองที่เป็นขวัญใจของใครหลายคนอย่าง เป็นชู้กับผี รุ่นพี่ สิงสู่ ฯลฯ ขณะที่นักแสดงนั้นได้พี่อ๊อฟกับพี่ช่าดาราตัวท็อปในยุคนั้นมานำแสดง โดยเฉพาะพี่ช่าในยุคนั้นนี่ต้องบอกว่าโคตะระน่ารัก เธอมาในลุคสาวผมสั้นที่สวยอย่างเท่ ไม่แพ้ดาราฝรั่งเท่ๆ ในยุคนั้นเลย
.
กล่าวโดยสรุป นี่คือหนังสัตว์ประหลาดเกรดบีเรื่องแรกของไทยที่อยากให้ดูกัน มันคือหนังไซไฟสยองขวัญที่หาดูโคตรยากในบ้านเรา เอาเป็นว่ามันดูสนุกถึงขนาดที่ใครหลายคนยกให้เป็นหนังสัตว์ประหลาดที่ดีที่สุดของไทยมาจนถึงบัดนี้
.
แม้เอฟเฟกต์จะพื้นๆ แต่กลับทำตัวสัตว์ประหลาดออกมาได้อย่างสมจริงและน่ากลัวไม่น้อย พูดถึงซีจี ส่วนตัวรู้สึกว่าถ้าทำให้ดีไม่ได้ก็ไม่จำเป็นต้องใส่ซีจีโดดๆ มาให้เสียอารมณ์ ปั้นๆ แปะๆ แบบดิบๆ เมือกๆ ไปเลยก็ถึงใจดี
.
และความดิบเถื่อนแบบหนังทุนต่ำก็ทำให้หนังสัตว์ประหลาดเรื่องนี้น่าดูและมีเสน่ห์ขึ้นอีกเป็นกอง
.
หากจะมีอะไรติก็คงเป็นการที่ตัวหนังฉบับเก่ามันมืดไปจนมองสัตว์ประหลาดแทบไม่เห็น แต่รอบหลังที่เข้าโรงฉายเมื่อหลายปีก่อน เขาเอามาสแกนใหม่ให้คมชัดในระดับ 4K ด้วย ในที่สุดก็ได้เห็นกันชัดๆ เสียทีว่าหน้าตาของเจ้าสัตว์ประหลาดเมือกๆ มันเป็นแบบนี้นี่เอง
.
เอาเป็นว่าถ้าชอบหนังสัตว์ประหลาดย้อนยุคฟีลหนังเกรดบีก็แนะนำ!
ถ้าชอบ The Thing ก็แนะนำ!
ถ้าชอบมาช่า...ยิ่งแนะนำ!!


ชื่อสินค้า:   มาห์ (2534)
คะแนน:     
0.5
1.0
1.5
2.0
2.5
3.0
3.5
4.0
4.5
5.0
CR - Consumer Review : กระทู้รีวิวนี้เป็นกระทู้ CR โดยที่เจ้าของกระทู้
- จ่ายเงินซื้อเอง หรือได้รับจากคนรู้จักที่ไม่ใช่เจ้าของสินค้า เช่น เพื่อนซื้อให้
- ไม่ได้รับค่าจ้างและผลประโยชน์ใดๆ"
ได้ดูใน โรงครับเรื่องนี้ ตอนนั้นชอบมาก และก็รู้สึกเสียดายว่าหนังไทยไม่ทำหนังไซไฟโทนนี้อีกเลย
""
""
ขอบคุณที่มาแชร์นะ
""
"เพิ่งรู้จักจากกระทู้นี้เลยค่ะ
น่าสนใจดี"
""
ขอบคุณครับ
""
